Câu hỏi ,Trả lời,Phân Loại ,Sample
Yêu cầu về hồ sơ nhập của SV khi nhập học gồm những gì?,"Giấy báo nhập học (bản chính); Lý lịch SV,Bản sao bằng TN, chứng nhận TN,Bản sao học bạ,Bản sao giấy khai sinh; Bản sao hộ khẩu ,Giấy chứnh nhận diện chính sách ",Học tập và Tài Liệu học tập,Hồ sơ nhập học bao gồm những tài liệu nào?
Về việc tạm dừng học tập có thời hạn,SV được phép tạm dừng học tập khi có lý do chính đáng Thời gian tạm dừng tối đa bằng thời gian kéo dài của khóa học. Mỗi lần tạm dừng từ 1 đến 2 học kỳ,Học tập và Tài Liệu học tập,Có bao lâu là thời hạn tạm dừng học tập?
SV cần làm gì để xin học tiếp sau khi tạm dừng?,"Nộp các giấy tờ tại phòng Công tác SV: Đơn xin học lại (theo mẫu) có xác nhận của chính quyền địa phương (nhận tại phòng Công tác HSSV hoặc download trên mạng của phòng); Quyết định cho phép tạm dừng. Thời gian: Chậm nhất, trước 2 tuần khi bắt đầu đăng ký môn học học kỳ mới. Nhận quyết định học lại: Tại phòng Công tác SV (sau 3 ngày).",Học tập và Tài Liệu học tập,"Để tiếp tục học sau khi tạm dừng, SV phải thực hiện những thủ tục gì?"
Hướng dẫn đăng ký môn học?,SV cần truy cập hệ thống đăng ký trực tuyến của trường và tuân theo hướng dẫn đăng ký môn học cho học kỳ. Ở một số trường khác sẽ tự động đăng ký môn cho sinh viên.,Học tập và Tài Liệu học tập,"Để đăng ký các môn học, sinh viên phải tuân theo quy trình nào?"
Thông báo kiểm tra điểm thi sau khi kỳ thi kết thúc?,Điểm thi thường được công bố trực tuyến qua hệ thống quản lý học tập của các trường,Học tập và Tài Liệu học tập,Khi nào chúng ta sẽ nhận được thông báo về kết quả thi sau khi kỳ thi kết thúc?
Điều kiện gì để xin miễn học phí hoặc học bổng?,SV cần làm đơn xin theo quy định của trường và nộp đơn tại Phòng Công tác Sinh viên.,Học tập và Tài Liệu học tập,Điều kiện nào cần đáp ứng để được miễn học phí hoặc học bổng?
tìm việc làm sau khi tốt nghiệp có những chương trình gì ?,SV có thể tìm hiểu về các chương trình và tài liệu hỗ trợ việc làm từ Trung tâm Quan hệ Doanh nghiệp của trường.,Học tập và Tài Liệu học tập,Có những lựa chọn nào cho việc tìm việc làm sau khi tốt nghiệp?
Thực hiện yêu cầu chuyển ngành từ ngành khác?,SV cần liên hệ với Phòng Công tác Sinh viên và tuân theo quy trình yêu cầu chuyển đổi ngành. Sẽ có một số yêu cầu về điểm số cũng như là sỉ số ngành đó đã đủ chưa.,Học tập và Tài Liệu học tập,Làm thế nào để thay đổi ngành hoặc lớp học?
Nên chuẩn bị những kiến thức gì cho ngành CNTT?,"Kiến thức cơ bản về máy tính (phần cứng, phần mềm, mạng…); Tư duy logic, toán học; Kỹ năng mềm (giao tiếp, phản biện,…). Quan trọng là khả năng tự giác, tự học trao dồi kiến thức.",Học tập và Tài Liệu học tập,Kiến thức chuẩn bị cho ngành CNTT?
"Cách tra cứu lịch học, lịch thi và thông tin sự kiện trường?","Lịch học, lịch thi và sự kiện trường thường được công bố hệ thống quản lý học tập.",Học tập và Tài Liệu học tập,"Làm cách nào để tra cứu lịch học, lịch thi và thông tin về sự kiện trường?"
Làm thế nào để tìm giáo viên hướng dẫn hoặc giúp đỡ trong việc học tập?,SV nên liên hệ trực tiếp với giảng viên qua email hoặc sử dụng dịch vụ hỗ trợ học tập của trường. Hãy chủ động trong việc liên hệ giảng viên qua mail.,Học tập và Tài Liệu học tập,Làm thế nào để tìm giáo viên hướng dẫn hoặc người hỗ trợ trong việc học tập?
Cách tham gia vào dự án nghiên cứu hoặc hợp tác với giáo viên hướng dẫn như thế nào?,SV nên liên hệ trực tiếp với giảng viên hoặc khoa/TT có liên quan để biết về các cơ hội được tham gia các dự án nghiên cứu ,Học tập và Tài Liệu học tập,Cách tham gia vào các dự án nghiên cứu hoặc hợp tác với giáo viên hướng dẫn như thế nào?
Thi bao nhiêu điểm để có thể vào các trường đào tạo CNTT?,"Ở các trường Đại học như Bách Khoa, Khoa Học Tự Nhiên sẽ từ 27 điểm thi THPT Quốc gia trở lên; Bạn có thể chọn trường Đại học theo nhiều phương thức tuyển sinh khác nhau (xét HSG, xét học bạ THPT,…). Bạn tham khảo điểm thi từng năm qua https://diemthi.vnexpress.net/ hoặc https://tuyensinh247.com/",Học tập và Tài Liệu học tập,Những thông tin cần biết về chương trình học và chất lượng giảng dạy tại trường là gì?
Gợi ý các trường Đại học đào tạo CNTT có điểm thi từ 15-20 điểm thi THPT?,"Hiện nay có rất nhiều trường đào tạo CNTT có điểm tuyển sinh từ 15-20 điểm: Trường đại học Công Nghiệp, Trường Đại học Tôn Đức Thắng, Trường Đại học Tài Nguyên và Môi Trường,...",Học tập và Tài Liệu học tập,Gợi ý các trường Đại học đào tạo CNTT có điểm thi từ 15-20 điểm thi THPT?
Cách tìm hiểu về các chương trình đào tạo sau đại học hoặc các khóa học sau đại học?,"SV tham khảo tại Phòng đào tạo Sau đại học hoặc các khoa/TT có liên quan, sẽ có thông tin hướng dẫn chi tiết và cụ thể từ bước.",Học tập và Tài Liệu học tập,Cách tìm hiểu về các chương trình đào tạo sau đại học hoặc các khóa học sau đại học?
Trường Đại học đào tạo CNTT chuyên về GIS và Viễn thám?,"Chuyên về GIS và Viễn thám tiêu biểu là Trường Đại học Bách Khoa, Trường Đại học Tài Nguyên và Môi Trường, Trường Đại học Khoa học tự nhiên… ",Học tập và Tài Liệu học tập,Liên hệ với ai để xin giấy xác nhận điểm sau khi tốt nghiệp?
Cơ hội việc làm sau khi tốt nghiệp ngành công nghệ kỹ thuật môi trường?,SV có thể liên hệ với Phòng Đảm bảo chất lượng giáo dục hoặc sử dụng hệ thống phản hồi trực tuyến được cung cấp bởi trường.,Học tập và Tài Liệu học tập,Làm thế nào để đưa ra góp ý về chất lượng dạy học và dịch vụ sinh viên?
Cơ hội việc làm của ngành CNTT?,"Tuy sự cạnh tranh việc làm ngành CNTT rất cao, nhưng vẫn cần rất nhiều nhân sự chất lượng cao. Để thành công, bạn cần cập nhật kiến thức và kỹ năng mới, có khả năng học hỏi liên tục và thích ứng với sự thay đổi trong công nghệ và yêu cầu của thị trường.",Học tập và Tài Liệu học tập,Cơ hội việc làm của ngành CNTT hiện nay?
Các hướng chuyên ngành CNTT?,Sẽ chia ra rất nhiều chuyên ngành tùy vào Trường đại học đào tạo. Sau đây là các chuyên ngành phổ biến: Công nghệ phần mềm; An ninh mạng; Khoa học dữ liệu; Quản trị hệ thống.,Học tập và Tài Liệu học tập,Ngành CNTT chia ra bao nhiêu chuyên ngành?
Cách để tham gia các hoạt động ngoại khóa hoặc câu lạc bộ sinh viên?,SV có thể tìm hiểu thông tin về các hoạt động này tại Phòng Công tác Sinh viên,Sinh viên Quốc tế và Hoạt động ngoại khóa,Cách tham gia vào hoạt động ngoại khóa hoặc câu lạc bộ sinh viên là gì?
Làm cách nào để tham gia vào các chương trình trao đổi sinh viên quốc tế tại trường?,SV nên liên hệ với Phòng Quan hệ Quốc tế hoặc Trung tâm Hợp tác và Phát triển Quốc tế của trường để biết về các cơ hội trao đổi và quy trình đăng ký.,Sinh viên Quốc tế và Hoạt động ngoại khóa,Làm thế nào để tham gia vào chương trình trao đổi sinh viên quốc tế tại trường?
"Để được cấp sổ ưu đãi trong giáo dục, đào tạo, SV cần làm gì?","SV liên hệ Phòng Lao động Thương binh & Xã hội địa phương (nơi đăng ký hộ khẩu thường trú) để được hướng dẫn làm các thủ tục & nhận sổ ưu đãi giáo dục, đào tạo.",Trợ cấp và Công tác xã hội,"Để đủ điều kiện để được hưởng sổ ưu đãi trong giáo dục và đào tạo, sinh viên phải thực hiện những thủ tục gì?"
"Xin cho biết các đối tượng được hưởng trợ cấp ưu đãi trong giáo dục, đào tạo?.","SV là anh hùng lực lượng vũ trang, anh hùng lao động, thương binh; SV là con liệt sỹ, con thương binh, con của bệnh binh, con của người hưởng chính sách như thương binh…",Trợ cấp và Công tác xã hội,Ai được hưởng trợ cấp ưu đãi trong giáo dục và đào tạo?
"Mỗi học kỳ, SV nhận trợ cấp xã hội trong bao lâu?",SV được nhận tiền hưởng trợ cấp xã hội 06 tháng/học kỳ; 12 tháng/năm,Trợ cấp và Công tác xã hội,"Trong mỗi học kỳ, thời gian mà sinh viên nhận trợ cấp xã hội là bao lâu?"
SV nhận tiền trợ cấp xã hội tại trường hay ở địa phương?.,"SV nhận trợ cấp xã hội tại Trường, không nhận ở địa phương. Phòng Kế hoạch Tài chính thực hiện việc chi trợ cấp xã hội qua tài khoản Ngân hàng của SV.",Trợ cấp và Công tác xã hội,Sinh viên nhận trợ cấp xã hội tại trường hay từ địa phương?
Trường có trợ cấp cho SV hàng năm không?,"Hàng năm Nhà trường dành khoảng năm trăm triệu đồng để trợ cấp cho SV có hoàn cảnh khó khăn, SV năm trong vùng bị thiên tai,…",Trợ cấp và Công tác xã hội,Trường có cung cấp trợ cấp cho sinh viên hàng năm không?
Thời gian tích lũy ngày Công tác xã hội (CTXH) như thế nào?,Việc tích lũy ngày CTXH của SV được thực hiện trong suốt khóa học; SV tự quyết định thời gian hoàn tất việc tích lũy số ngày CTXH. Nhà trường khuyến cáo SV không nên để dồn vào cuối khóa.,Trợ cấp và Công tác xã hội,Làm thế nào để tích lũy ngày Công tác xã hội (CTXH)?
Đối tượng nào được phân quyền đánh giá điểm rèn luyện của SV?,"Phòng, ban, khoa/TT, Đoàn thể có liên quan đến các hoạt động học tập và rèn luyện của SV đều được phân quyền đánh giá rèn luyện của SV.",Trợ cấp và Công tác xã hội,Ai có thẩm quyền đánh giá điểm rèn luyện của sinh viên?
Điểm rèn luyện dùng để làm gì?,"Ghi vào bảng điểm kết quả học tập, đánh giá học bổng cho SV.",Trợ cấp và Công tác xã hội,Mục đích của điểm rèn luyện là gì?
một SV chính quy cần tích lũy bao nhiêu ngày Công tác xã hội (CTXH)?,SV chính quy phải tích lũy số ngày CTXH tối thiểu/khóa đào tạo là 04 ngày CTXH đối với khóa đào tạo từ 04 năm trở lên; 02 ngày CTXH với khóa đào tạo dưới 04 năm.,Trợ cấp và Công tác xã hội,Bao nhiêu ngày Công tác xã hội (CTXH) một sinh viên chính quy cần tích lũy?
Nếu muốn được tư vấn trực tiếp thì phải liên lạc với ai?,"Thông thường, Nhà trường tổ chức tư vấn trực tiếp cho thí sinh qua Hotline tư vấn tuyển sinh: 0961.224.529",Tuyển sinh ,"Nếu muốn nhận tư vấn trực tiếp, cần liên hệ với ai?"
Trường có bao nhiêu hình thức xét tuyển ,"Xét điểm học bạ Trung học phổ thông (THPT), Xét điểm thi đánh giá năng lực của ĐH Quốc gia TP. Hồ Chí Minh, Xét điểm thi tốt nghiệp THPT năm 2023, Xét tuyển thẳng, ưu tiên xét tuyển thẳng.",Tuyển sinh ,Trường có bao nhiêu hình thức xét tuyển?
Cách Xét bằng Điểm thi Đánh giá năng lực của ĐH Quốc gia TP. Hồ Chí Minh,Phương thức Xét tuyển dựa vào kết quả kỳ thi đánh giá năng lực năm 2023 của ĐH Quốc gia TP. Hồ Chí Minh trên cổng thông tin của Đại học Quốc gia TP. Hồ Chí Minh,Tuyển sinh ,Làm cách nào để xét tuyển bằng Điểm thi Đánh giá năng lực của ĐH Quốc gia TP. Hồ Chí Minh?
Xét bằng Điểm thi tốt nghiệp THPT 2023,Phương thức Xét tuyển dựa vào kết quả kỳ thi Trung học phổ thông năm 2023 vẫn tiến hành theo quy định của Bộ Giáo dục và Đào tạo,Tuyển sinh ,Làm cách nào để xét tuyển bằng Điểm thi tốt nghiệp THPT 2023?
Khả năng trúng tuyển có cao không?,"điểm chuẩn thấp nhất của trường năm nay là 17 điểm (với rất nhiều ngành và chương trình), cao nhất là 26,75 điểm thuộc về ngành công nghệ thông tin (chương trình đại trà).",Tuyển sinh ,Khả năng trúng tuyển có cao không?
 Nhà Trường đào tạo những nghề gì?,"Đa số là trường thiên về khối kĩ thuật , ngoài ra trường có thêm mọi số ngành khác nhau , trường đào tạo đa lĩnh vực",Tuyển sinh ,Trường đào tạo các ngành học nào?
Thời gian học ở trường như thế nào?,Nhà trường đào tạo trình độ Đại học chính quy trong thời gian từ 4 - 5  năm học liên tục theo quy định của Bộ LĐTB&XH.,Tuyển sinh ,Thời gian học tại trường được tổ chức như thế nào?
Địa điểm học của trường ở đâu?,"HCMUTE tọa lạc tại số 1 Võ Văn Ngân, quận Thủ Đức",Tuyển sinh ,Nơi học tập của trường nằm ở đâu?
Điều kiện cơ sở vật chất và môi trường học của Nhà trường ra sao?,"Trường luôn được nhiều sinh viên đánh giá có môi trường học tập thân thiện, tính kỷ luật cao. Sinh viên được sử dụng phòng học lý thuyết và xưởng thực hành của trường.Ngoài ra, sinh viên được sử dụng thư viện, Ký túc xá, khu thể thao, căng tin, sân bóng… của trường",Tuyển sinh ,Cơ sở vật chất và môi trường học của trường được đảm bảo như thế nào?
Các giảng viên hàng đầu về ngành CNTT?,"số giảng viên lên 940 người, trong đó, số giảng viên có trình độ trên đại học đạt trên 85%, quản lý điều hành Nhà trường theo tiêu chuẩn ISO 9001:2000.",Tuyển sinh ,Đội ngũ giảng viên của trường có những đặc điểm gì?
Ngành Công nghệ phần mềm như thế nào?,"Ngành công nghệ phần mềm tập trung vào việc phát triển, triển khai và duy trì các ứng dụng và hệ thống phần mềm. Các vị trí việc làm trong ngành này: Web Developer, Tester, Mobile Developer, Software Engineer. Đây cũng là ngành có cơ hội làm việc lớn nhất, rất nhiều tập đoàn lớn tuyển dụng vị trí này.",Học tập và Tài Liệu học tập,Ngành Công nghệ phần mềm như thế nào?
Ngành An ninh mạng như thế nào và cơ hội làm việc?,"Ngành an ninh mạng tập trung vào bảo vệ các hệ thống, mạng và dữ liệu khỏi các mối đe dọa mạng bằng cách triển khai các biện pháp bảo mật, công nghệ và chiến lược phản ứng. Các vị trí việc làm: Chuyên viên an ninh mạng, Chuyên viên phân tích malware, SEO Developer. Các công ty công nghệ, tổ chức chính phủ, tổ chức tài chính và các doanh nghiệp khác đều có nhu cầu tuyển dụng chuyên gia an ninh mạng.",Học tập và Tài Liệu học tập,Ngành An ninh mạng như thế nào và cơ hội làm việc?
Ngành Khoa học dữ liệu như thế nào và cơ hội làm việc?,"Ngành khoa học dữ liệu kết hợp các kỹ thuật từ các lĩnh vực như thống kê, máy học, khai phá dữ liệu và lập trình để phân tích và hiểu biết dữ liệu. Các vị trí việc làm: Data Analyst, Data Scientist, Data Engineer, AI Engineer. Bây giờ là thời đại của AI và dữ liệu, Khoa học dữ liệu chính là xu hướng việc làm hiện nay. Các tổ chức đang tìm kiếm các chuyên gia có kiến thức và kỹ năng trong lĩnh vực khoa học dữ liệu để giúp họ hiểu biết sâu sắc về dữ liệu và đưa ra các quyết định thông minh dựa trên dữ liệu.",Học tập và Tài Liệu học tập,Ngành Khoa học dữ liệu như thế nào và cơ hội làm việc?
Để biết môn tương đương/thay thế của bộ môn (BM) Điện tử Công nghiệp (ĐTCN) ở đâu?,Thông tin trên phòng Đào tạo/website BM ĐTCN/liên lạc Trưởng bộ môn bằng email/facebook hay gặp trực tiếp.,Học tập và Tài Liệu học tập,Làm thế nào để xác định môn học tương đương hoặc thay thế cho Điện tử Công nghiệp (ĐTCN)?
trong nhiều môn tự chọn thì nên chọn những môn nào để học?,"Liên lạc Trưởng/Phó bộ môn, tư vấn viên bằng email/facebook.",Học tập và Tài Liệu học tập,"Trong danh sách các môn tự chọn, các môn nào nên được ưu tiên chọn để học?"
Làm sao để sử dụng được Learning Management System của Pearson?,"Xem hướng dẫn trên website Bộ môn Điện tử công nghiệp, nếu vẫn không sử dụng được thì liên hệ theo địa chỉ email kèm theo để được hướng dẫn.",Học tập và Tài Liệu học tập,Làm thế nào để sử dụng hiệu quả Learning Management System của Pearson?
Một số công ty tuyển dụng sinh viên chuyên ngành Kỹ thuật máy tính là gì?," Về lĩnh vực hệ thống nhúng sử  dụng vi điều khiển và FPGA: Datalogic, DataSystem, Sonion, Renesas, National Instrument, FPT software,…,  Về lĩnh vực thiết kế vi mạch: ICDREC, Renesas, Arrive Technology,…",Học tập và Tài Liệu học tập,Các công ty nào thường tuyển dụng sinh viên chuyên ngành Kỹ thuật máy tính?
ngành Điện tử nhưng tại sao Khoa mình lại lấy tên ngành là CN Kỹ thuật Điện tử - Truyền thông?,Tên ngành CN Kỹ thuật Điện tử - Truyền thông chọn theo qui định của Bộ GD-ĐT. Hiện nay ngành này ở Khoa ĐĐT có 2 hướng: Điện tử viễn thông và Điện tử công nghiệp. SV sẽ được chọn khi chuyển sang học chuyên ngành (HK3).,Học tập và Tài Liệu học tập,Tại sao Khoa Điện tử đặt tên ngành là CN Kỹ thuật Điện tử - Truyền thông thay vì Điện tử thuần túy?
SV chưa có chứng chỉ GDQP có được thi tốt nghiệp không?,"Đối với trình độ đại học, SV vẫn có thể thi tốt nghiệp với điều kiện:.Đã tích lũy đủ số học phần quy định theo CTĐT, Không đang trong thời gian bị kỷ luật từ mức đình chỉ học tập có thời hạn trở lên hoặc đăng trong thời gian truy cứu trách nhiệm hình sự, tính ở thời điểm xét điều kiện dự thi tốt nghiệp",Học tập và Tài Liệu học tập,Sinh viên chưa có chứng chỉ GDQP có thể thi tốt nghiệp không?
Sinh viên có được mượn thiết bị của nhà trường để làm đồ án tốt nghiệp không?,"Tất cả sinh viên của khoa điện đều có thể sử dụng cơ sở vật chất tại các phòng thí nghiệm của khoa để thực hành, nâng cao kỹ năng nghề nghiệp",Học tập và Tài Liệu học tập,Có thể mượn thiết bị từ trường để thực hiện đồ án tốt nghiệp không?
 Làm thế nào để học cho qua được những môn học khó hoặc các anh chị khóa trước bị “rớt nhiều”?,"Nên đầu đầu tư nhiều thời gian hơn cho các môn học khó, nên đọc bài ở nhà trước khi lên lớp (1 tiết học trên lớp cần ít nhất 2 tiết chuẩn bị bài trước ở nhà), mạnh dạn phát biểu ý kiến xây dựng bài, làm bài tập đầy đủ, hỏi GV hoặc trợ giảng, trao đổi kinh nghiệm với các anh chị khóa trước để học tốt hơn,…",Học tập và Tài Liệu học tập,Làm thế nào để học môn học khó hoặc các môn mà các sinh viên khóa trước thường rớt nhiều?
Những kỹ năng mềm cần thiết khi ra trường đi làm?,"Các kỹ năng mềm các em nên học hỏi và hoàn thiện: kỹ năng làm việc nhóm, kỹ năng trình bày, kỹ năng sử dụng vi tính, ngoại ngữ, kỹ năng giải quyết vấn đề, kiến thức phổ thông, tổng quan về cuộc sống,...",Học tập và Tài Liệu học tập,Những kỹ năng mềm nào cần thiết khi bước ra thế giới làm việc sau tốt nghiệp?
Làm sao sinh viên có thể lựa chọn được môn học tự chọn phù hợp với yêu cầu công việc sau này?,"n cần tự định hướng cho mình sau này sẽ làm việc trong môi trường thế nào (tư vấn giải pháp, triển khai giải pháp, vận hành giải pháp,..); từ đó tìm hiểu yêu cầu cụ thể của nhà tuyển dụng trong từng  môi trường và chọn cụ thể từng môn học",Học tập và Tài Liệu học tập,Làm thế nào để chọn được các môn học tự chọn phù hợp với yêu cầu công việc trong tương lai?
"Các anh chị báo cáo tốt nghiệp, em là sinh viên năm 1 có được tham gia nghe hay ko ?", Rất khuyến khích tinh thần ham học tập của em. Việc này hoàn toàn được. Em có thể tham khảo thêm lịch báo cáo tốt nghiệp tại văn phòng khoa.,Học tập và Tài Liệu học tập,Có được tham gia nghe báo cáo tốt nghiệp của các anh chị khi là sinh viên năm 1 không?
"Khi muốn nâng cao năng lực làm việc thực tế, sinh viên phải làm sao?","Sinh viên có thể tham gia các câu lạc bộ chuyên ngành, các cuộc thi sáng tạo do khoa, hoặc trường tổ chức, tham gia NCKH SV, ",Học tập và Tài Liệu học tập,"Để nâng cao năng lực làm việc thực tế, sinh viên phải thực hiện những bước gì?"
Rớt môn giáo dục quốc phòng 1 có được học bổng không điểm trung bình trên 8.0 ," Khi SV thi không đạt 1 trong 4 học phần GDQP  (thi lần đầu), thì SV không được xét học bổng khuyến khích học tập của học kì tới mặc dù điểm trung bình môn của SV cao hơn các SV khác.",Trợ cấp và Công tác xã hội,"Nếu rớt môn giáo dục quốc phòng 1 và điểm trung bình là trên 8.0, có cơ hội nhận học bổng không?"
Điểm bảo lưu môn học được tính như thế nào? Có tính vào điểm học kỳ hay không?,Điểm bảo lưu không tính vào điểm trung bình tích luỹ hay điểm trung bình chung.,Học tập và Tài Liệu học tập,Điểm bảo lưu môn học được tính ra sao? Có tính vào điểm học kỳ hay không?
"Những môn tự chọn, nếu rớt có cần học lại môn đó không? ","SV rớt môn tự chọn, có thể đăng ký lại môn đó hoặc 1 môn tự chọn khác trong các môn tự chọn thuộc chương trình đào tạo của mình, cho đủ số tín chỉ quy định",Học tập và Tài Liệu học tập,"Nếu rớt môn tự chọn, có cần học lại môn đó hay có thể học môn tự chọn khác để đủ 10 tín chỉ không?"
Điều kiện để làm đồ án tốt nghiệp hoặc thi tốt nghiệp?,"Tiêu chuẩn làm đồ án tốt nghiệp tùy vào tình hình cụ thể của từng bộ môn, có các nguyên tắc chung như sau: ưu tiên SV có điểm tích lũy cao, SV có số tín chỉ tích lũy đạt yêu cầu (thường là tổng số tín chỉ của ngành học trừ đi số tín chỉ trong học kỳ cuối), SV không nợ hay nợ không quá 5 tín chỉ. Thường số SV làm đồ án chiếm khoảng 30-50% tồng số SV của khóa học",Học tập và Tài Liệu học tập,Điều kiện để thực hiện đồ án tốt nghiệp hoặc thi tốt nghiệp là gì?
Văn Phòng Đoàn Khoa Điện - Điện tử ở đâu?,"Phòng Đoàn Khoa Điện - Điện tử tại Tầng 2, Khu C, kế bên phòng C102",Học tập và Tài Liệu học tập,Vị trí của Văn Phòng Đoàn Khoa Điện - Điện tử là ở đâu?
